,Name,Title,Price,Description,Tag,Image link
0,kevinyhang,CHEAPEST ALDUT ZOO SINGAPORE TICKET,S$29,Attractions,Attractions,https://media.karousell.com/media/photos/products/2020/10/12/cheapest_aldut_zoo_singapore_t_1602494958_4c6995a1_progressive_thumbnail.jpg
1,luke_chan,1x Singapore Zoo Admission ticket (valid for 31 Oct 2020 AM),S$20,"Usual price $35.10 (non-residents) or $31.20 (Singapore citizens, SPR, holders of EP, SP, WP or DP)   100% genuine, bought from Wildlife Reserves site in Jul 2020.   No need to meet up, will email the ticket :)",Attractions,https://media.karousell.com/media/photos/products/2020/6/25/2x_singapore_zoo_tickets_valid_1593080670_be361e73_progressive_thumbnail.jpg
2,ornavi,Singapore Zoo ADULT Ticket for 24Oct 830AM,S$25,have 3 adult tickets available for the SG Zoo on 24th Oct (Saturday) 8:30am timing and date are fixed 1 adult for $26 or take 2 or more for $25/ticket,Attractions,https://media.karousell.com/media/photos/products/2020/10/1/singapore_zoo_adult_ticket_for_1601567216_16538932_progressive_thumbnail.jpg
3,ling_attractionticket,SINGAPORE ZOO + FREE TRAM,S$29,"🦁E-TICKET SINGAPORE ZOO + FREE TRAM🦍 📱WhatsApp me at https://wa.me/6597933733 for prompt reply  ⚠️LIMITED STOCK, FIRST PAY, FIRST RESERVE BASIS⚠️ 👉🏻FOR ANYONE (LOCAL & FOREIGNER), NO RESTRICTION!  ⭕️How to order: ✅Quantity ✅Visit date & timing ✅Email address ✅Payment by bank transfer only or PayNow/",Attractions,https://media.karousell.com/media/photos/products/2020/8/10/singapore_zoo__free_tram_1597034907_2e377a9f_progressive_thumbnail.jpg
4,yoyo100,Singapore Zoo tickets,S$0,E-tickets via email  In stock available  Expiry till June  Adult ticket:$30 Child ticket :$25  Payment method: PayLah or paynow  Meet up is accepted too :-) ,Attractions,https://media.karousell.com/media/photos/products/2020/03/03/194640_281089045_thumbnail_progressive_thumbnail.jpg
5,arvind91.swaminathan,Singapore zoo tickets for 5 adults,S$150,"5 tickets - adults, available for Singapore zoo. e-ticket will be emailed.",Attractions,https://media.karousell.com/media/photos/products/2020/02/07/225025_276575510_thumbnail_progressive_thumbnail.jpg
6,cheerbearpower,Tickets to Singapore Zoo,S$27,"Selling Ticket(s) at a discount! This comes with no tram rides.    Attraction Name     : Singapore Zoo with Tram Retail Price: Adult $38  If you are keen to take up the offer, please private message us.",Attractions,https://media.karousell.com/media/photos/products/2020/01/13/160014_272617984_thumbnail_progressive_thumbnail.jpg
7,jelly.beanie,Singapore Zoo Tickets (USS SEA AQUARIUM ADVENTURE COVE TRICKEYE MADAME TUSSARDS ZOO RIVER SAFARI NIGHT SAFARI RAINFOREST LUMINA SENTOSA),S$18,"Adults——— $28 Kids———18   Fast Response. Reliable Seller. E-Tickets send within 15 mins after payment receive. Any enquires, feel free to whatsapp me at.            📱 +65 8796 6433 ",Attractions,https://media.karousell.com/media/photos/products/2019/12/03/152705_265684391_thumbnail_progressive_thumbnail.jpg
8,1travelsg,🔥SALE🔥 Singapore Zoo + Tram E-tickets,S$18.50,✔️ Caroupay accepted 📱 Whatsapp: 85524209 💵  How much will it cost you?  👧 CHILD (3-12)   : $18.50 - $19.50 🧔 ADULT (13+): $27 - $30  🦁 Singapore Zoo + Tram 🔥 SALE prices: we are the CHEAPEST  💡 FAQs 🎉 Available for all days (even TODAY)  🎉 Public holidays / weekends OK 🎉 Local or foreigners CAN use,Attractions,https://media.karousell.com/media/photos/products/2019/11/21/001911_259417262_thumbnail8_progressive_thumbnail
9,kinglovefly,Singapore zoo E-tickets(Adult),S$28,Admission to Singapore Zoo exclude Tram ride No refundable and cancellation. Child tickets is $20.5 per pax,Attractions,https://media.karousell.com/media/photos/products/2019/10/27/111011_155557255_thumbnailJ_progressive_thumbnail
10,sweetytour,Singapore Zoo with Tram E-ticket,S$19.80,👀Open dated 🐵🐨🐘🐯🦁🐰Singapore Zoo with tram ticket【Valid for 1 to 2mths! 】 💁🏻Adult- $28.8 👧🏻Child-: $19.8 💐Child: 3 - 12 years old 🕗Opening Hours： 8:30 AM to 6 PM   💌👉🏻How to use tickets: Please exchange for physical tickets at the 🌝ticketing counter or the self-ticketing kiosks available at the entra,Attractions,https://media.karousell.com/media/photos/products/2018/08/30/215030_145904433_thumbnail0_progressive_thumbnail
11,martin_022405,Singapore Zoo Tickets,S$23,23 adult and 17 child electronic tickets,Attractions,https://media.karousell.com/media/photos/products/2019/03/07/153549_218160689_thumbnail_progressive_thumbnail.jpg
