,Movie title,Duration,Genre,Description,Image link
0,(Jap) Doraemon: Nobita's Treasure Island (PG),109 minutes,Animation,"In the story, Doraemon, Nobita, Shizuka, Gian, and Suneo set out on an adventurein the Caribbean Sea. Nobita is the captain of a ship and fights his enemies on board. Shizuka gets kidnapped, and a storm impede their journey. Mini-Dora help Nobita and friends on their journey. When the adventurers finally find the mysterious Treasure Island, they discover it is more than just an ordinary island.",https://www.gv.com.sg/media/imagesresize/img3505.jpg
1,The Princess And The Matchmaker (PG13: Some Sexual References),110 minutes,Romance/ Comedy,"In the wake of prolonged famine, the palace arranges Princess Songhwa (SHIM Eun-kyung)’s marriage in order to correct the misfortune. A renowned diviner, Seo Doyoon (LEE Seung-gi), is brought in to find the perfect husband that will have the best marital harmony with the princess. From candidates all over the country, 4 prospective husbands with different fate signs are shortlisted. However, the princess who refuses to accept that her life partner will be chosen solely based on fortune reading and decides to sneak out of the palace to meet the candidates before the final decision is made. Doyoon finds out about this later, and follows after her.",https://www.gv.com.sg/media/imagesresize/img3506.jpg
2,A Fantastic Woman (M18: Mature Theme),100 minutes,Drama,"Winner of the Academy Awards for Best Foreign Language Film , A Fantastic Woman, talks of love, acceptance, caring and identity in a whole new way Winner of several awards and accolades , it was also selected to compete for the Golden Bear in the main competition section of the 67th Berlin International Film Festival. It was selected as the Chilean entry for the Best Foreign Language Film where it won in the 90th Academy Awards The story is about Marina , a trans woman and how she deals with the death of her boyfriend to then rediscover her own identity . Marina, is a singer and waitress. She has just moved in with her lover, Orlando. One night, Orlando wakes up feeling very unwell. Unable to stand up, he collapses and falls down a staircase. Marina rushes him to a hospital, but Orlando dies, apparently from a stroke. Marina is viewed with suspicion both by the doctors and Orlando's family. A detective comes to the restaurant where Marina works, and asks Marina questions suggesting that Orlando's death had resulted from a physical altercation between the two of them. Meanwhile, Orlando's ex-wife and Orlando's son forbids Marina from attending the wake or the funeral. Marina struggles for the right to be herself in spite of the allegations. To make matters worse, the exclusions might have more to do with her identity rather than the death of Orlando. The film currently holds a 93% approval rating on Rotten Tomatoes, based on 182 reviews, with an average rating of 8.2/10. Among top critics on the site, it holds an average rating of 8.4/10. The website's critical consensus reads, ""Subtle and tender, A Fantastic Woman handles its timely, sensitive subject matter with care. It currently holds a score of 87 out of 100 on Metacritic based on 41 reviews, indicating ""universal acclaim""",https://www.gv.com.sg/media/imagesresize/img3507.jpg
3,Bayi Gaib (NC16: Some Violence & Horror),91 minutes,Horror/ Thriller,"Bayi Gaib: Bayi Tumbal Bayi Mati is a 2018 Indonesian pregnancy-themed supernatural horror film directed by Rizal Mantovani (Wewe) based on a screenplay by Baskoro Adi Wuryanto. The movie stars Rianti Cartwright, Ashraf Sinclair and Mario Lawalata. Rafa, a succesful contractor, is having a baby with her wife, Farah. But things get strange when the birth of the baby is unnormal. And a lot of mysterious things happens around Rafa and Farah.",https://www.gv.com.sg/media/imagesresize/img3508.jpg
4,Tomorrow Is Another Day 黄金花 (M18: Sexual Scene),91 minutes,Drama,"Mrs. Wong knows her husband is carrying on an affair, but for the sake of their marriage and autistic son, she has chosen to silently endure. However, the mistress bears and ulterior motive and comes to disturb their lives, and in the end, Mr. Wong leaves home after a fight. Feeling at a loss and struggling to watch over her son by herself, Mrs. Wong begins to plot ways to take revenge against the mistress.",https://www.gv.com.sg/media/imagesresize/img3509.jpg
5,Dukun (PG13: Disturbing Scenes ),106 minutes,Horror/ Thriller,"It’s a tale about the lure of riches, power, eternal youth, beauty and the blood one must spill to achieve this. Dukun centres around a conflicted lawyer, Karim, who is searching for his lost child, Nadia. His desperation leads him to be entangled with an alleged murderer, Diana Dahlan, who links the disappearance of Nadia to darker secrets that could cause Karim to lose everything.",https://www.gv.com.sg/media/imagesresize/img3510.jpg
6,Dude's Manual 脱单告急 (PG: Some Sexual References),101 minutes,Comedy,"He Xiaoyang, who is single for four years, is mistaken as head girl Guan Xin‘s love interest by accident. To get rid of He Xiaoyang, Guan Xin decides to help him pursue the most beautiful girl in campus Li Shushu. With Guan Xin’s help, He Xiaoyang learns the most efficient way to pursue a girl. But he can’t figure out whether there is really a way to face his true love.",https://www.gv.com.sg/media/imagesresize/img3511.jpg
7,Sakura Guardian In The North (PG: Some Violence),126 minutes,Drama,"Spring of 1945, cherry blossoms flower in southern Sakhalin, a symbol of hope for Tetsu Ezure and her family. But with the Soviet Union’s invasion the following August they flee to Abashiri, Hokkaido, to a life of harsh cold and hunger through which they struggle to survive. 1971, younger son Shujiro, now grown, has returned to Japan where he meets his mother for the first time in fifteen years. The war is over but her post-traumatic stress disorder still remains, and she is at times delusional and makes a nuisance of herself. Then she disappears – not wanting to cause further problems for her successful son, she wishes to go back to Abashiri. Shujiro follows in an effort to reach out, mother and son setting out around the vast plains of Hokkaido on a journey into the past, opening the door to long-buried memories.",https://www.gv.com.sg/media/imagesresize/img3512.jpg
8,Inuyashiki (PG13: Some Violence),127 minutes,Action/ Thriller,"Ichiro Inuyashiki (Noritake Kinashi) is an elderly man, working for a company. One day, Ichiro Inuyashiki is involved in an explosion. When he regains consciousness, he discovers that he is now a cyborg with incredible powers. He decides to use his powers to help those in need. Meanwhile, Hiro Shishigami (Takeru Satoh) is a high school student. He was also involved in the same explosion and has gained the same the powers as Ichiro Inuyashiki. Hiro Shishigami decides to use his power to kill off all those who are hostile to him. Ichiro Inuyashiki attempts to save Japan from Ichiro Inuyashiki.",https://www.gv.com.sg/media/imagesresize/img3513.jpg
9,Champion (PG: Some Coarse Language),108 minutes,Drama/ Comedy,"Mark is a disgraced arm wrestling champion who was adopted by an American family when he was a boy. He’s a bouncer at a club and befriends a Korean sports agent named Jin-ki, who has a knack for schemes to make money from any situation he’s in. Lured by an arm wrestling tournament in Korea and Jin-ki’s scheme to make a fortune from it, Mark comes back to his native country for the first time in 30 years. When he arrives, Jin-ki gives him his biological mother’s address. Hesitant at first, he goes to the address and is united with a sister he didn’t know existed and embraced by a new family, he prepares himself to make a mark on the tournament.",https://www.gv.com.sg/media/imagesresize/img3514.jpg
10,Sound Of Silence (PG),88 minutes,Drama,"Set in a beautiful Himalayan valley, it's a journey of a neglected and abandoned mute boy, who loses his mother at birth and is furiously neglected by his father. When his father goes behind bars, the boy stares at a lonely and deserted life ahead. His relationship with an elderly Buddhist monk helps him to detach from his voiceless suffering and to explore the bond that each creation shares with nature. With nowhere to go, he joins a Budhist monastery even as he fights an inner battle of unrequited love.",https://www.gv.com.sg/media/imagesresize/img3515.jpg
